id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Winter Letters,Hearth & Pine,folk,nostalgic,0.33,76,0.38,0.45,0.88
12,Blue Neon Alley,King Slate,hip hop,gritty,0.66,92,0.42,0.81,0.12
13,Cathedral Echoes,Arcadia Chamber,classical,serene,0.20,68,0.54,0.23,0.97
14,Iron Pulse,Steel Harbor,metal,aggressive,0.97,176,0.31,0.58,0.03
15,Sunset Rodeo,Marble Creek,country,romantic,0.52,98,0.63,0.57,0.72
16,Ocean Lights,Maris Vega,house,uplifting,0.88,126,0.79,0.86,0.08
17,Shadow Waltz,Nocturne Mile,blues,melancholic,0.44,84,0.29,0.52,0.64
18,Paper Kites,Skywell,indie folk,dreamy,0.41,88,0.67,0.49,0.83
